codigo,sku,descripcion,nombre_normalizado,categoria_sugerida,marca_sugerida,unidad_sugerida,costo_sin_iva_ars,costo_con_iva_ars,precio_publico_ars,iva_pct_inferido,stock_inicial,stock_minimo,activo,origen_excel_fila
47791,47791,DESAGUE INFINITY ABS 100x10x7.6 REVESTIBLE ATRIM,DESAGUE INFINITY ABS 100X10X7 6 REVESTIBLE ATRIM,Ferretería general,,unidad,,,,,,,true,9275
36947,36947,PUERTA PLACA NATIVA MDF SC MCH18 70/10 I OBLAK,PUERTA PLACA NATIVA MDF SC MCH18 70/10 I OBLAK,Ferretería general,,unidad,,,,,,,true,9409
36774,36774,DILUYENTE PARA PINTURA CAUCH PISCINAS X 1LT,DILUYENTE PARA PINTURA CAUCH PISCINAS X 1LT,Pintura y adhesivos,,unidad,,,,,,,true,9621
38223,38223,ZOCALO EPS POLIESTIRENO BEIGE 12X100-RECTO ACANALADO -2.45 mt,ZOCALO EPS POLIESTIRENO BEIGE 12X100 RECTO ACANALADO 2 45 MT,Construcción,,unidad,,,,,,,true,9633
47565,47565,PORCELANATO FROZEN BLANCO 30x62 TENDENZA,PORCELANATO FROZEN BLANCO 30X62 TENDENZA,Ferretería general,,unidad,,,,,,,true,9645
47566,47566,"PORCELANATO SMOKE GRIS 57,5 x 57,5 TENDENZA",PORCELANATO SMOKE GRIS 57 5 X 57 5 TENDENZA,Ferretería general,,unidad,,,,,,,true,9646
47651,47651,"PORCELANATO SILVER MOON 57,5 x 117 TENDENZA",PORCELANATO SILVER MOON 57 5 X 117 TENDENZA,Ferretería general,,unidad,,,,,,,true,9647
47701,47701,"PORCELANATO ABSOLUT 91,5 x 91,5 TENDENZA",PORCELANATO ABSOLUT 91 5 X 91 5 TENDENZA,Ferretería general,,unidad,,,,,,,true,9648
800,800,FASTIX ALTA TEMPERATURA 100 GR,FASTIX ALTA TEMPERATURA 100 GR,Ferretería general,,unidad,,,,,,,true,9649
35075,35075,PEGAMENTO PORCELANATO FORTE BOLSA 25 kg WEBER,PEGAMENTO PORCELANATO FORTE BOLSA 25 KG WEBER,Pintura y adhesivos,,kg,,,,,,,true,9767
35992,35992,MULTIUSO X 30 kg WEBER,MULTIUSO X 30 KG WEBER,Ferretería general,,kg,,,,,,,true,9776
36164,36164,HIDROFUGO CERECITA BLANCO BALDE X 20 kg,HIDROFUGO CERECITA BLANCO BALDE X 20 KG,Ferretería general,,kg,,,,,,,true,9780
